,DesignId,PRL,PRW,Stretch,FRJ,FRP,FRL,MC type
385,D00073,120.0,210.0,0.6,1225,355.0,170.0,JQ
386,D00073,120.0,200.0,0.6,1225,325.0,170.0,JQ
387,D00073,120.0,210.0,0.6,1225,355.0,170.0,JQ
388,D00073,120.0,210.0,0.6,1230,340.0,160.0,JQ
389,D00073,120.0,210.0,0.6,1230,340.0,160.0,JQ
390,D00073,120.0,205.0,0.6,1230,340.0,160.0,JQ
391,D00073,120.0,210.0,0.6,1230,340.0,160.0,JQ
392,D00073,120.0,205.0,0.5,1130,400.0,180.0,JQ
393,D00073,120.0,210.0,0.6,1230,340.0,340.0,JQ
394,D00073,120.0,200.0,0.7,1100,330.0,170.0,JQ
395,D00073,120.0,210.0,0.6,1230,340.0,160.0,JQ
396,D00073,120.0,210.0,0.6,1230,340.0,210.0,JQ
397,D00073,120.0,210.0,0.6,1230,340.0,210.0,JQ
398,D00073,120.0,210.0,0.6,1230,340.0,210.0,JQ
399,D00073,120.0,210.0,0.6,1230,340.0,210.0,JQ
400,D00073,130.0,230.0,0.6,1230,356.7,210.0,JQ
401,D00073,120.0,210.0,0.6,1220,356.7,225.0,JQ
402,D00073,120.0,205.0,0.6,1245,315.0,180.0,JQ
403,D00073,129.0,205.0,0.6,1220,335.0,170.0,JQ
404,D00073,134.0,205.0,0.6,1200,335.0,195.0,JQ
405,D00073,120.0,203.0,0.6,1230,356.7,160.0,JQ
406,D00073,120.0,210.0,0.6,1210,356.7,160.0,JQ
407,D00073,120.0,210.0,0.6,1235,356.7,160.0,JQ
408,D00073,120.0,210.0,0.6,1235,356.7,160.0,JQ
409,D00074,130.0,210.0,0.7,1080,320.0,160.0,JQ
410,D00074,125.0,210.0,0.7,1115,355.0,170.0,JQ
411,D00074,135.0,210.0,0.7,1130,370.0,180.0,JQ
412,D00074,135.0,210.0,0.75,1130,365.0,175.0,JQ
413,D00074,130.0,210.0,0.7,1130,365.0,165.0,JQ
414,D00074,130.0,210.0,0.7,1130,380.0,165.0,JQ
415,D00074,130.0,210.0,0.7,1080,325.0,160.0,JQ
416,D00074,120.0,220.0,0.7,1080,356.7,160.0,JQ
417,D00074,125.0,220.0,0.7,1080,356.7,160.0,JQ
418,D00074,130.0,220.0,0.7,1090,356.7,165.0,JQ
419,D00074,130.0,220.0,0.7,1090,356.7,165.0,JQ
420,D00074,120.0,215.0,0.6,1080,330.0,160.0,JQ
